,CustomerID,first_time_buying,Recency,Frequency,Monetary
0,12346.0,2011-01-18 10:01:00,325,1,77183.6
1,12347.0,2010-12-07 14:57:00,1,7,4310.0
2,12348.0,2010-12-16 19:09:00,74,4,1797.24
3,12349.0,2011-11-21 09:51:00,18,1,1757.55
4,12350.0,2011-02-02 16:01:00,309,1,334.4
5,12352.0,2011-02-16 12:33:00,35,8,2506.04
6,12353.0,2011-05-19 17:47:00,203,1,89.0
7,12354.0,2011-04-21 13:11:00,231,1,1079.4
8,12355.0,2011-05-09 13:49:00,213,1,459.4
9,12356.0,2011-01-18 09:50:00,22,3,2811.43
10,12357.0,2011-11-06 16:07:00,32,1,6207.67
11,12358.0,2011-07-12 10:04:00,1,2,1168.06
12,12359.0,2011-01-12 12:43:00,57,4,6372.58
13,12360.0,2011-05-23 09:43:00,51,3,2662.06
14,12361.0,2011-02-25 13:51:00,286,1,189.9
15,12362.0,2011-02-17 10:30:00,2,10,5226.23
16,12363.0,2011-04-11 13:29:00,109,2,552.0
17,12364.0,2011-08-19 15:24:00,7,4,1313.1
18,12365.0,2011-02-21 13:51:00,290,2,641.38
19,12367.0,2011-12-05 16:48:00,3,1,168.9
20,12370.0,2010-12-14 12:58:00,50,4,3545.69
21,12371.0,2011-10-11 10:43:00,44,2,1887.96
22,12372.0,2011-02-16 12:46:00,71,3,1298.04
23,12373.0,2011-02-01 13:10:00,310,1,364.6
24,12374.0,2011-11-14 15:37:00,24,1,742.9300000000001
25,12375.0,2011-09-02 14:23:00,10,2,457.5
26,12377.0,2010-12-20 09:37:00,314,2,1628.12
27,12378.0,2011-08-02 10:34:00,129,1,4008.62
28,12379.0,2011-06-22 16:32:00,81,2,852.24
29,12380.0,2011-06-07 09:49:00,21,4,2724.81
30,12381.0,2011-08-12 09:57:00,4,5,1845.31
31,12383.0,2010-12-22 14:28:00,184,5,1850.56
32,12384.0,2011-08-10 11:23:00,28,2,585.27
33,12386.0,2010-12-08 09:53:00,337,2,401.9
34,12388.0,2011-01-17 11:12:00,15,6,2780.66
35,12390.0,2011-09-21 09:33:00,79,1,549.84
36,12391.0,2011-11-18 12:07:00,21,1,460.89
37,12393.0,2011-01-11 09:47:00,71,4,1582.6000000000001
38,12394.0,2011-05-06 14:01:00,63,2,1272.48
39,12395.0,2010-12-03 16:35:00,18,12,3018.63
40,12397.0,2011-07-27 14:21:00,35,2,2409.9
41,12398.0,2011-10-25 10:27:00,45,1,1635.6599999999999
42,12399.0,2011-03-23 09:42:00,118,4,1108.65
43,12401.0,2011-02-09 13:50:00,302,1,84.3
44,12402.0,2011-01-20 13:49:00,322,1,225.6
45,12403.0,2011-10-21 10:51:00,49,1,427.7
46,12405.0,2011-07-14 08:52:00,148,1,1710.39
47,12406.0,2011-06-09 10:23:00,21,2,3415.3
48,12407.0,2011-03-20 13:21:00,49,5,1708.1200000000001
49,12408.0,2011-03-24 14:46:00,32,5,2888.55
50,12409.0,2011-06-10 12:19:00,78,3,11072.67
51,12410.0,2011-02-04 10:38:00,308,2,693.3299999999999
52,12412.0,2011-06-23 13:51:00,74,3,1226.88
53,12413.0,2011-01-06 16:12:00,66,3,758.1
54,12414.0,2011-02-02 14:51:00,216,3,562.41
55,12415.0,2011-01-06 11:12:00,23,21,124914.53
56,12417.0,2010-12-17 11:51:00,2,9,3649.1
57,12418.0,2011-08-19 11:08:00,112,1,668.58
58,12420.0,2011-10-07 08:55:00,63,1,600.39
59,12421.0,2011-01-24 15:09:00,15,4,807.04
60,12422.0,2011-01-19 09:13:00,95,3,803.5600000000001
61,12423.0,2010-12-21 10:54:00,0,8,1859.31
62,12424.0,2011-06-30 12:06:00,162,2,1760.96
63,12425.0,2011-09-22 17:31:00,77,1,777.2
64,12426.0,2011-05-29 12:26:00,194,1,582.73
65,12427.0,2010-12-03 10:44:00,21,3,825.8
66,12428.0,2011-03-01 09:33:00,25,9,7956.46
67,12429.0,2010-12-09 12:05:00,8,4,3750.4
68,12430.0,2011-10-27 15:09:00,42,1,256.4
69,12431.0,2010-12-01 10:03:00,35,15,6487.45
70,12432.0,2011-06-20 13:27:00,42,5,5059.32
71,12433.0,2010-12-01 13:24:00,0,7,13375.87
72,12434.0,2011-03-24 13:05:00,84,2,806.14
73,12435.0,2011-03-17 07:40:00,79,2,7829.89
74,12436.0,2011-09-01 12:09:00,99,1,509.01
75,12437.0,2011-01-12 14:13:00,1,18,4951.41
76,12438.0,2011-07-22 13:29:00,13,2,2906.85
77,12441.0,2010-12-08 10:45:00,366,1,173.55
78,12442.0,2011-12-06 14:22:00,2,1,172.06
79,12444.0,2011-06-21 14:00:00,20,5,5005.46
80,12445.0,2011-11-17 18:43:00,21,1,133.4
81,12446.0,2011-10-13 12:50:00,57,1,1002.3100000000001
82,12447.0,2011-04-10 13:25:00,242,1,476.49
83,12448.0,2011-10-26 13:46:00,43,1,449.45
84,12449.0,2011-06-05 15:37:00,21,4,4067.29
85,12450.0,2011-06-19 14:36:00,155,2,197.88
86,12451.0,2011-01-19 09:05:00,10,5,9035.52
87,12452.0,2011-11-23 08:05:00,16,2,430.57
88,12453.0,2011-07-28 14:08:00,133,1,707.09
89,12454.0,2011-10-14 17:13:00,55,1,3528.34
90,12455.0,2011-02-16 09:56:00,72,6,2466.86
91,12456.0,2011-03-30 09:12:00,43,3,3181.04
92,12457.0,2011-04-14 18:57:00,65,7,2363.23
93,12458.0,2011-02-28 10:55:00,70,2,947.4
94,12461.0,2011-07-08 10:23:00,93,2,826.88
95,12462.0,2011-02-09 14:44:00,18,2,1189.59
96,12463.0,2011-04-12 12:47:00,52,4,1344.78
97,12464.0,2011-02-03 13:30:00,9,8,1212.05
98,12465.0,2011-06-23 13:37:00,16,2,742.1899999999999
99,12468.0,2011-01-27 13:29:00,187,2,729.5400000000001
100,12471.0,2010-12-10 09:35:00,1,30,19824.05
101,12472.0,2010-12-05 14:19:00,31,7,6572.11
102,12473.0,2011-06-01 10:15:00,28,5,3938.5499999999997
103,12474.0,2011-01-14 10:06:00,16,18,7375.79
104,12475.0,2011-10-17 10:10:00,53,1,723.38
105,12476.0,2010-12-13 14:39:00,15,11,6816.42
106,12477.0,2011-02-11 12:45:00,22,6,13219.74
107,12478.0,2011-12-06 09:56:00,3,1,680.99
108,12479.0,2011-11-28 13:26:00,10,1,527.2
109,12480.0,2011-01-07 15:27:00,27,4,3281.63
110,12481.0,2010-12-09 10:13:00,22,10,5596.32
111,12483.0,2011-01-04 14:20:00,16,8,2484.98
112,12484.0,2011-01-07 14:04:00,32,6,4541.72
113,12488.0,2011-09-25 10:34:00,9,3,1298.66
114,12489.0,2011-01-07 13:13:00,335,1,334.93
115,12490.0,2011-01-14 09:13:00,4,10,5417.93
116,12491.0,2011-11-01 12:18:00,38,1,460.40000000000003
117,12492.0,2011-08-26 14:51:00,62,2,263.21000000000004
118,12493.0,2011-05-26 14:53:00,165,2,433.74
119,12494.0,2010-12-09 11:31:00,15,7,1246.1000000000001
120,12497.0,2011-09-19 12:29:00,81,1,1043.1
121,12498.0,2011-10-13 09:30:00,20,3,403.70000000000005
122,12500.0,2011-01-10 09:48:00,22,11,4257.82
123,12501.0,2011-01-07 12:28:00,336,1,2169.39
124,12502.0,2011-02-03 10:41:00,95,5,3723.87
125,12504.0,2011-11-09 14:56:00,17,2,482.04999999999995
126,12506.0,2011-04-21 08:54:00,232,1,73.5
127,12507.0,2011-02-14 09:24:00,133,3,1304.81
128,12508.0,2011-11-10 16:27:00,25,2,398.27
129,12509.0,2011-02-28 14:45:00,283,1,176.5
130,12510.0,2011-01-18 14:04:00,142,2,982.5699999999999
131,12512.0,2011-10-04 14:53:00,65,2,138.03
132,12513.0,2011-08-19 10:51:00,112,1,612.29
133,12514.0,2011-03-17 16:38:00,266,1,1017.68
134,12515.0,2010-12-21 15:43:00,352,1,383.7
135,12516.0,2011-06-12 11:37:00,77,2,1312.06
136,12517.0,2011-06-02 15:13:00,27,5,2502.84
137,12518.0,2011-08-21 13:18:00,0,5,2056.89
138,12519.0,2011-10-07 09:26:00,63,1,340.84
139,12520.0,2011-03-11 11:35:00,78,5,2634.26
140,12521.0,2011-07-20 10:51:00,142,1,599.68
141,12522.0,2011-10-19 14:41:00,38,2,192.72
142,12523.0,2011-01-12 09:43:00,18,11,1789.77
143,12524.0,2011-01-10 10:35:00,8,8,4485.72
144,12526.0,2011-09-06 14:19:00,0,3,1316.66
145,12527.0,2011-01-18 12:05:00,81,3,348.71000000000004
146,12528.0,2011-01-31 09:05:00,8,6,1933.48
147,12530.0,2011-01-07 10:04:00,59,4,1662.28
148,12531.0,2011-11-25 11:12:00,14,1,125.22
